group,kind,level,method,cls,mean_case_dice,cases,case_values
training,noise,0.1,raster8,disconnected_2d,0.16401730995565705,4,"{'Case_13': 0.020108028410265846, 'Case_14': 0.007760740006191341, 'Case_16': 0.02293877550556614, 'Case1LES': 0.6052616959006049}"
training,noise,0.1,raster8_smooth,attached_2d,0.9392760107869325,4,"{'Case_13': 0.9851858329967365, 'Case_14': 0.961273176022118, 'Case_16': 0.960869403233756, 'Case1LES': 0.8497756308951194}"
training,noise,0.1,raster8_smooth,disconnected_2d,0.5912519338602402,4,"{'Case_13': 0.9005366650980816, 'Case_14': 0.3372869520134658, 'Case_16': 0.429320771645371, 'Case1LES': 0.6978633466840423}"
development,clean,0,neural,attached_2d,0.9706814829786855,3,"{'Case_19': 0.9693949943079639, 'Case_24': 0.9627024761765939, 'Case_23': 0.9799469784514989}"
development,clean,0,neural,disconnected_2d,0.6384017574753699,3,"{'Case_19': 0.568081991215227, 'Case_24': 0.49187759727993957, 'Case_23': 0.8552456839309429}"
development,clean,0,raster4,attached_2d,1.0,3,"{'Case_19': 1.0, 'Case_24': 1.0, 'Case_23': 1.0}"
development,clean,0,raster4,disconnected_2d,1.0,3,"{'Case_19': 1.0, 'Case_24': 1.0, 'Case_23': 1.0}"
development,clean,0,raster8,attached_2d,0.9981138790035587,3,"{'Case_19': 1.0, 'Case_24': 0.9943416370106761, 'Case_23': 1.0}"
development,clean,0,raster8,disconnected_2d,0.9441517386722866,3,"{'Case_19': 1.0, 'Case_24': 0.8324552160168599, 'Case_23': 1.0}"
development,coarse,2,neural,attached_2d,0.9675081549393493,3,"{'Case_19': 0.9669509770086607, 'Case_24': 0.9596474364787174, 'Case_23': 0.9759260513306698}"
development,coarse,2,neural,disconnected_2d,0.6356493646427558,3,"{'Case_19': 0.5752608047690015, 'Case_24': 0.48344880677444185, 'Case_23': 0.8482384823848238}"
development,coarse,2,raster4,attached_2d,0.970025590751638,3,"{'Case_19': 0.9740993184031159, 'Case_24': 0.9666365135954876, 'Case_23': 0.9693409402563105}"
